PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;79;4;7;28079004_7_8;2021;4;21;1;V;1;V;1;V;1;V;1;V;1;V;2;V;68;N;142;N;78;N;9;V;21;V;13;V;10;V;5;V;10;V;17;V;12;V;7;V;2;V;1;V;1;V;1;V;1;V
28;79;4;7;28079004_7_8;2021;4;22;1;V;1;V;1;V;1;V;1;V;1;V;1;V;4;V;30;V;35;V;19;V;38;V;16;V;9;V;3;V;11;V;14;V;4;V;11;V;3;V;2;V;1;V;4;V;1;V
28;79;4;7;28079004_7_8;2021;4;23;1;V;1;V;1;V;1;V;1;V;1;V;1;V;4;V;9;V;28;V;21;V;11;V;17;V;28;V;3;V;24;V;8;V;4;V;2;V;1;V;1;V;1;V;1;V;1;V
28;79;4;7;28079004_7_8;2021;4;24;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;3;V;6;V;3;V;3;V;3;V;3;V;3;V;1;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V
28;79;4;7;28079004_7_8;2021;4;25;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;1;V;2;V;2;V;2;V;2;V;2;V;2;V;1;V;2;V;2;V;1;V;1;V;2;V
28;79;4;7;28079004_7_8;2021;4;26;1;V;1;V;1;V;2;V;2;V;1;V;3;V;26;V;95;V;76;V;28;V;51;V;30;V;17;V;3;V;13;V;18;V;26;V;17;V;1;V;1;V;1;V;1;V;1;V
28;79;4;7;28079004_7_8;2021;4;27;1;V;1;V;1;V;1;V;1;V;1;V;12;V;27;V;73;V;105;V;54;V;71;V;40;V;23;V;4;V;17;V;13;V;13;V;7;V;3;V;1;V;1;V;1;V;1;V
28;79;4;7;28079004_7_8;2021;4;28;1;V;1;V;1;V;1;V;1;V;1;V;1;V;17;N;125;N;88;V;65;V;48;V;28;V;20;V;6;V;11;V;12;V;13;V;11;V;2;V;1;V;1;V;1;V;1;V
28;79;4;7;28079004_7_8;2021;4;29;1;V;1;V;1;V;1;V;1;V;1;V;1;V;7;V;26;V;23;V;19;V;14;V;15;V;10;V;2;V;12;V;13;V;10;V;7;V;4;V;3;V;5;V;3;V;5;V
28;79;4;7;28079004_7_8;2021;4;30;6;V;4;V;12;V;11;V;1;V;1;V;1;V;9;V;26;V;28;V;33;V;19;V;21;V;15;V;2;V;13;V;7;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V
28;79;4;8;28079004_8_8;2021;4;1;10;V;9;V;11;V;8;V;9;V;10;V;12;V;15;V;23;V;20;V;19;V;20;V;23;V;13;V;8;V;6;V;6;V;7;V;8;V;11;V;16;V;24;V;27;V;28;V
28;79;4;8;28079004_8_8;2021;4;2;7;V;7;V;7;V;6;V;6;V;4;V;11;V;17;V;16;V;15;V;20;V;18;V;10;V;9;V;9;V;7;V;4;V;6;V;14;V;15;V;17;V;24;V;24;V;25;V
28;79;4;8;28079004_8_8;2021;4;3;18;V;15;V;21;V;18;V;12;V;11;V;9;V;16;V;18;V;22;V;23;V;33;V;41;V;26;V;15;V;12;V;7;V;11;V;16;V;25;V;19;V;27;V;49;V;66;V
28;79;4;8;28079004_8_8;2021;4;4;52;V;32;V;11;V;17;V;12;V;14;V;11;V;22;V;19;V;9;V;10;V;12;V;12;V;13;V;14;V;14;V;14;V;13;V;15;V;19;V;24;V;57;V;78;V;72;V
28;79;4;8;28079004_8_8;2021;4;5;13;V;10;V;7;V;6;V;18;V;19;V;28;V;51;V;75;V;64;V;70;V;55;V;44;V;41;V;25;V;28;V;45;V;18;V;13;V;12;V;20;V;29;V;35;V;70;V
28;79;4;8;28079004_8_8;2021;4;6;69;V;43;V;27;V;24;V;17;V;17;V;27;V;44;V;81;N;84;N;97;N;109;N;85;V;62;V;24;V;39;V;35;V;54;V;40;V;13;V;20;V;36;V;33;V;29;V
28;79;4;8;28079004_8_8;2021;4;7;18;V;9;V;8;V;8;V;5;V;7;V;8;V;22;V;43;V;39;V;27;V;33;V;33;V;36;V;21;V;36;V;47;V;53;V;48;V;24;V;25;V;24;V;11;V;10;V
28;79;4;8;28079004_8_8;2021;4;8;8;V;10;V;9;V;7;V;6;V;5;V;10;V;20;V;39;V;50;V;42;N;47;V;43;V;40;V;28;V;36;V;43;V;36;V;35;V;27;V;19;V;18;V;23;V;26;V
28;79;4;8;28079004_8_8;2021;4;9;12;V;13;V;18;V;18;V;12;V;11;V;14;V;25;V;53;V;60;V;60;V;50;V;35;V;31;V;24;V;30;V;31;V;25;V;31;V;29;V;29;V;32;V;28;V;22;V
